STARTTIME,ENDTIME,SRCADDRESS,DSTADDRESS,SRCPORT,DSTPORT,BYTEINCOUNT,BYTEOUTCOUNT,DSTLAT,DSTLNG,FLOWS,MAXTTLINPACKETS,PACKETINCOUNT,PACKETOUTCOUNT,SRCLAT,SRCLNG,TCPFLAGS,TRANSPORTPROTOCOL,CLASSIFICATIONLABEL
0:44:30,0:44:30,103.60.177.77,184.150.212.156,42621,23,44,0,43.64250183,-79.3871994,0,0,1,0,20,77,2,6,0
0:54:15,0:54:15,103.60.177.77,206.47.52.43,34394,23,44,0,43.62720108,-79.62220001,0,0,1,0,20,77,2,6,0
0:19:15,0:19:15,103.60.177.77,207.61.242.79,42621,23,44,0,43.71220016,-79.32369995,0,0,1,0,20,77,2,6,0
0:30:13,0:30:13,103.60.177.77,67.69.242.30,42621,2323,44,0,43.64979935,-79.38150024,0,0,1,0,20,77,2,6,0
0:58:51,0:59:00,1.53.177.166,184.150.210.19,60293,445,152,0,43.64979935,-79.38150024,0,0,3,0,21.0333004,105.8499985,2,6,0
0:18:16,0:18:16,114.229.88.251,206.47.48.29,22296,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:43:20,0:43:20,114.229.88.251,206.47.48.61,46373,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:13:24,0:13:24,114.229.88.251,206.47.48.76,20823,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:03:56,0:03:56,114.229.88.251,206.47.48.95,41674,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:14:31,0:14:31,114.229.88.251,206.47.57.115,31502,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:12:43,0:12:43,114.229.88.251,206.47.57.34,26545,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:22:41,0:22:41,114.229.88.251,206.47.57.51,29300,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:36:55,0:36:55,114.229.88.251,206.47.57.80,39616,1433,40,0,43.62720108,-79.62220001,0,0,1,0,32.06169891,118.7778015,2,6,0
0:18:35,0:18:35,106.51.168.112,206.47.77.106,4233,445,52,0,43.62720108,-79.62220001,0,0,1,0,20,77,2,6,0
0:02:36,0:02:36,110.36.200.40,206.47.52.14,51894,8080,40,0,43.62720108,-79.62220001,0,0,1,0,30,70,2,6,0
0:48:44,0:48:44,110.36.200.40,67.69.240.234,33093,23,40,0,43.64250183,-79.3871994,0,0,1,0,30,70,2,6,0
0:32:57,0:32:58,111.206.221.36,184.150.212.172,35000,443,4908,0,43.64250183,-79.3871994,0,0,15,0,39.92890167,116.388298,27,6,0
0:07:59,0:07:59,110.46.156.117,207.61.30.52,38790,81,40,0,43.64979935,-79.38150024,0,0,1,0,37.5984993,126.978302,2,6,0
0:05:21,0:05:21,112.184.106.51,206.47.68.169,36517,23,40,0,43.62720108,-79.62220001,0,0,1,0,37.56999969,126.9800034,2,6,0
0:31:27,0:31:27,112.184.106.51,67.69.242.50,31084,81,40,0,43.64979935,-79.38150024,0,0,1,0,37.56999969,126.9800034,2,6,0
0:29:14,0:29:14,113.161.129.115,184.150.203.242,50127,1433,44,0,43.64250183,-79.3871994,0,0,1,0,21.0333004,105.8499985,2,6,0
0:53:59,0:53:59,113.161.129.115,184.150.212.13,50127,1433,44,0,43.64250183,-79.3871994,0,0,1,0,21.0333004,105.8499985,2,6,0
0:42:07,0:42:07,113.161.129.115,206.47.48.125,50127,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:05:49,0:05:49,113.161.129.115,206.47.48.34,50127,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:38:52,0:38:52,113.161.129.115,206.47.48.38,50127,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:26:18,0:26:18,113.161.129.115,206.47.58.225,50127,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:46:57,0:46:57,113.161.129.115,206.47.61.7,55352,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:16:00,0:16:00,112.121.19.222,198.235.69.15,65522,23,40,0,43.64979935,-79.38150024,0,0,1,0,37.29109955,127.0089035,2,6,0
0:34:56,0:35:13,112.23.7.76,67.69.168.42,48570,993,2957,0,45.41289902,-75.69010162,0,0,7,0,35,105,26,6,0
0:06:43,0:06:43,111.78.193.56,206.47.64.53,5541,23,40,0,43.62720108,-79.62220001,0,0,1,0,28.54999924,115.9332962,2,6,0
0:48:15,0:48:15,111.78.193.56,67.69.231.72,64597,81,40,0,43.64979935,-79.38150024,0,0,1,0,28.54999924,115.9332962,2,6,0
0:34:22,0:34:22,113.62.21.103,184.150.85.124,6424,5555,40,0,43.64250183,-79.3871994,0,0,1,0,29.64999962,91.09999847,2,6,0
0:47:33,0:47:33,113.62.21.103,206.47.72.228,6424,5555,40,0,43.62720108,-79.62220001,0,0,1,0,29.64999962,91.09999847,2,6,0
0:28:50,0:28:50,113.62.21.103,207.35.176.217,6424,5555,40,0,43.77970123,-79.41560364,0,0,1,0,29.64999962,91.09999847,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.106,48769,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.132,58911,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.235,19354,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
